1 Hector Garcia 23 Informatica
2 Ignacio Ramirez 33 Administracion
3 Ariel Mina 25 Informatica
4 Pellizo Angela 54 Tester
5 González Juan 25 Programacion
6 Martínez Ana 32 Administracion
7 Lopez Luis 45 Tester
8 Rodríguez María 28 Tecnico
9 Perez Carlos 36 Programacion
10 Fernández Laura 52 Administracion
11 García Miguel 41 Tester
12 Sánchez Elena 30 Tecnico
13 Ramírez Pedro 29 Programacion
14 Torres Isabel 48 Administracion
15 González Juan 38 Tester
16 Martínez Ana 26 Tecnico
17 Lopez Luis 22 Programacion
18 Rodríguez María 57 Administracion
19 Perez Carlos 33 Tester
20 Fernández Laura 40 Tecnico
21 García Miguel 23 Programacion
22 Sánchez Elena 50 Administracion
23 Ramírez Pedro 31 Tester
24 Torres Isabel 47 Tecnico
25 González Juan 29 Programacion
26 Martínez Ana 42 Administracion
27 Lopez Luis 35 Tester
28 Rodríguez María 54 Tecnico
29 Perez Carlos 27 Programacion
30 Fernández Laura 44 Administracion
31 García Miguel 37 Tester
32 Sánchez Elena 56 Tecnico
33 Ramírez Pedro 34 Programacion
34 Torres Isabel 49 Administracion
35 González Juan 39 Tester
36 Martínez Ana 43 Tecnico
37 Lopez Luis 31 Programacion
38 Rodríguez María 55 Administracion
39 Perez Carlos 28 Tester
40 Fernández Laura 46 Tecnico
41 García Miguel 30 Programacion
42 Sánchez Elena 51 Administracion
43 Ramírez Pedro 36 Tester
44 Torres Isabel 53 Tecnico
45 González Juan 41 Programacion
46 Martínez Ana 34 Administracion
47 Lopez Luis 48 Tester
48 Rodríguez María 27 Tecnico
49 Perez Carlos 37 Programacion
50 Fernández Laura 38 Administracion
51 García Miguel 25 Tester
52 Sánchez Elena 29 Tecnico
53 Ramírez Pedro 44 Programacion
54 Torres Isabel 40 Administracion
55 González Juan 32 Tester
56 Martínez Ana 58 Tecnico
57 Lopez Luis 24 Programacion
58 Rodríguez María 33 Administracion
59 Perez Carlos 43 Tester
60 Fernández Laura 47 Tecnico
61 García Miguel 26 Programacion
62 Sánchez Elena 52 Administracion
63 Ramírez Pedro 38 Tester
64 Torres Isabel 55 Tecnico
65 González Juan 37 Programacion
66 Martínez Ana 30 Administracion
67 Lopez Luis 46 Tester
68 Rodríguez María 29 Tecnico
69 Perez Carlos 39 Programacion
70 Fernández Laura 50 Administracion
71 García Miguel 35 Tester
72 Sánchez Elena 44 Tecnico
73 Ramírez Pedro 31 Programacion
74 Torres Isabel 52 Administracion
75 González Juan 42 Tester
76 Martínez Ana 34 Tecnico
77 Lopez Luis 47 Programacion
78 Rodríguez María 26 Administracion
79 Perez Carlos 41 Tester
80 Fernández Laura 38 Tecnico
81 García Miguel 32 Programacion
82 Sánchez Elena 49 Administracion
83 Ramírez Pedro 36 Tester
84 Torres Isabel 53 Tecnico
85 González Juan 45 Programacion
86 Martínez Ana 28 Administracion
87 Lopez Luis 55 Tester
88 Rodríguez María 30 Tecnico
89 Perez Carlos 39 Programacion
90 Fernández Laura 49 Administracion
91 García Miguel 31 Tester
92 Sánchez Elena 47 Tecnico
93 Ramírez Pedro 34 Programacion
94 Torres Isabel 58 Administracion
95 González Juan 40 Tester
96 Martínez Ana 32 Tecnico
97 Lopez Luis 27 Programacion
98 Rodríguez María 50 Administracion
99 Perez Carlos 37 Tester
100 Fernández Laura 43 Tecnico
101 García Miguel 35 Programacion
102 Sánchez Elena 45 Administracion
103 Ramírez Pedro 33 Tester
104 Torres Isabel 51 Tecnico
105 Ramirez Alberto 45 Administracion
106 Pedro Gonzales 26 Tester
107 Panzita Ariel 37 Tester
108 Nicolas Gonzalez 25 Tecnico
109 Perez Juan 25 Administracion
